id,group,site,mound,grave,name,raion,oblast,latitude,longitude,interment,sex,age,grave_type,shaft,gangway,steps,dromos,entrance_screen,boards,organic_lining,body_position,leg_position,ochre,charcoal,chalk,fire,mask,tar,animal_bones,axe_hammer,macehead,arrowhead,spearhead,bow,bronze_knife,bola,wooden_javelin,polishing_plate,arrow_straightener,awl,grindstone,scraper,punch,hammerstone,perforator,casting_mould,tuyere,digging_tool,adze,melting_pot,flint_knife,wooden_cup,wooden_bowl,pottery,body_ornament
52,Budzhak,Trapovka,10,1,Trapovka 10/1,Tatarbunary,Odessa,45.8,29.7,single,NA,adult,pit with niche,circular,absent,present,absent,absent,absent,absent,supine,extended,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
53,Budzhak,Trapovka,10,3,Trapovka 10/3,Tatarbunary,Odessa,45.8,29.7,single,male,adult,pit with niche,circular,absent,absent,absent,absent,absent,absent,supine,extended,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
54,Budzhak,Trapovka,10,5,Trapovka 10/5,Tatarbunary,Odessa,45.8,29.7,single,NA,adult,pit,absent,absent,absent,absent,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
55,Budzhak,Trapovka,10,7,Trapovka 10/7,Tatarbunary,Odessa,45.8,29.7,single,female,adult,pit with niche,h rectangular,absent,present,absent,absent,absent,present,NA,NA,present,absent,present,present,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
56,Budzhak,Trapovka,10,8,Trapovka 10/8,Tatarbunary,Odessa,45.8,29.7,single,male,adult,pit with niche,h rectangular,absent,absent,absent,absent,absent,feet only,supine,extended,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
57,Budzhak,Vishnevoye,52,11,Vishnevoye 52/11,Tatarbunary,Odessa,45.81,29.77,single,NA,adult,pit with niche,t rectangular,absent,present,absent,absent,absent,present,NA,NA,absent,absent,absent,censer,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
58,Budzhak,Vishnevoye,56,12,Vishnevoye 56/12,Tatarbunary,Odessa,45.81,29.77,single,NA,juvenile,pit with niche,t rectangular,absent,present,absent,absent,absent,present,supine,extended,absent,present,absent,censer,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
59,Budzhak,Vishnevoye,56,14,Vishnevoye 56/14,Tatarbunary,Odessa,45.81,29.77,single,NA,adult,NA,NA,absent,absent,absent,absent,absent,absent,supine,extended,absent,absent,absent,censer,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
60,Budzhak,Vishnevoye,54,3,Vishnevoye 54/3,Tatarbunary,Odessa,45.81,29.77,single,NA,NA,pit with niche,h rectangular,absent,present,absent,absent,absent,present,NA,NA,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
61,Budzhak,Vishnevoye,57,3,Vishnevoye 57/3,Tatarbunary,Odessa,45.81,29.77,single,NA,adult,pit with niche,h rectangular,absent,present,absent,absent,absent,present,supine,extended,present,absent,present,censer,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
62,Donetsk-Luhansk,Razdolovka-Ivano-Darevka,2,1,Razdolovka-Ivano-Darevka 2/1,Artemovsk,Donetsk,48.76,38.09,single,NA,adult,pit with niche,h rectangular,absent,present,absent,present,absent,present,left side,bent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
63,Donetsk-Luhansk,Razdolovka-Ivano-Darevka,2,2,Razdolovka-Ivano-Darevka 2/2,Artemovsk,Donetsk,48.76,38.09,single,NA,adult,NA,NA,absent,present,absent,present,absent,present,left side,bent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
64,Donetsk-Luhansk,Razdolovka-Ivano-Darevka,2,3,Razdolovka-Ivano-Darevka 2/3,Artemovsk,Donetsk,48.76,38.09,single,NA,adult,pit with niche,circular,absent,absent,absent,absent,absent,absent,supine,extended,present,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
65,Donetsk-Luhansk,Razdolovka-Ivano-Darevka,2,4,Razdolovka-Ivano-Darevka 2/4,Artemovsk,Donetsk,48.76,38.09,single,NA,adult,pit with niche,circular,absent,absent,absent,absent,absent,absent,left side,bent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
